accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-WET-1822-0239-00,1822,east-3,26,0,too soft,sealed,"copy arrived first"
SW-ARC-SIG-1488-0239-01,1488,black-7,47,3,reversed,drying,"copy arrived first"
SW-ARC-MGR-1714-0239-02,1714,unassigned,215,7,absent,misfiled,"room name absent"
SW-ARC-RET-1179-0239-03,1179,unassigned,51,73,too soft,misfiled,"room name absent"
SW-ARC-VLM-1931-0239-04,1931,black-7,104,73,too soft,drying,"do not compare at night"
SW-ARC-VLM-1907-0239-05,1907,east-3,126,14,broken inward,waiting,"shelf denied receipt"
SW-ARC-MGR-1996-0239-06,1996,black-7,219,3,reversed,waiting,"do not compare at night"
SW-ARC-PAL-1179-0239-07,1179,returned,107,3,reversed,open,"do not compare at night"
SW-ARC-BOX-1179-0239-08,1179,unassigned,75,7,reversed,open,"shelf denied receipt"
SW-ARC-PAL-1541-0239-09,1541,unassigned,67,21,absent,sealed,"copy arrived first"
SW-ARC-RET-1869-0239-10,1869,black-7,110,44,too soft,drying,"signature repeats"
SW-ARC-TID-1931-0239-11,1931,returned,197,0,absent,open,"shelf denied receipt"
SW-ARC-VLM-1714-0239-12,1714,east-3,28,7,too soft,drying,"do not compare at night"
