accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-RET-1793-0053-00,1793,returned,158,44,too soft,misfiled,"signature repeats"
SW-ARC-VLM-1179-0053-01,1179,unassigned,155,44,absent,drying,"copy arrived first"
SW-ARC-TID-1907-0053-02,1907,east-3,71,3,absent,misfiled,"shelf denied receipt"
SW-ARC-RET-1931-0053-03,1931,black-7,213,0,reversed,sealed,"shelf denied receipt"
SW-ARC-ACC-1714-0053-04,1714,returned,217,44,too soft,sealed,"shelf denied receipt"
SW-ARC-QRY-1666-0053-05,1666,returned,55,7,reversed,sealed,"room name absent"
SW-ARC-TID-1324-0053-06,1324,returned,101,3,absent,sealed,"room name absent"
SW-ARC-ACC-1974-0053-07,1974,east-3,202,3,broken inward,open,"room name absent"
SW-ARC-FOL-1488-0053-08,1488,black-7,195,3,broken inward,sealed,"do not compare at night"
SW-ARC-WET-1714-0053-09,1714,returned,145,3,broken inward,waiting,"signature repeats"
SW-ARC-PAL-1907-0053-10,1907,unassigned,208,0,reversed,open,"signature repeats"
SW-ARC-MGR-1324-0053-11,1324,lower-2,97,14,broken inward,sealed,"copy arrived first"
SW-ARC-TID-1541-0053-12,1541,black-6,95,21,intact,open,"room name absent"
SW-ARC-FOL-1666-0053-13,1666,unassigned,19,3,broken inward,open,"copy arrived first"
SW-ARC-TID-1869-0053-14,1869,lower-2,27,21,too soft,sealed,"do not compare at night"
SW-ARC-WET-1822-0053-15,1822,returned,136,0,too soft,open,"room name absent"
SW-ARC-ACC-1714-0053-16,1714,black-7,186,44,too soft,waiting,"do not compare at night"
SW-ARC-TID-1666-0053-17,1666,east-3,16,21,intact,sealed,"shelf denied receipt"
