accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-MGR-1541-0155-00,1541,black-6,79,0,intact,waiting,"copy arrived first"
SW-ARC-ACC-1793-0155-01,1793,lower-2,200,3,too soft,sealed,"shelf denied receipt"
SW-ARC-FOL-1996-0155-02,1996,black-7,153,73,intact,open,"shelf denied receipt"
SW-ARC-FOL-1907-0155-03,1907,unassigned,175,21,broken inward,sealed,"shelf denied receipt"
SW-ARC-PAL-1931-0155-04,1931,east-3,179,7,absent,drying,"signature repeats"
SW-ARC-DIP-1714-0155-05,1714,black-7,34,73,absent,misfiled,"room name absent"
SW-ARC-VLM-1931-0155-06,1931,lower-2,174,21,intact,misfiled,"shelf denied receipt"
SW-ARC-QRY-1666-0155-07,1666,black-6,189,14,reversed,misfiled,"shelf denied receipt"
SW-ARC-MGR-1179-0155-08,1179,black-7,165,73,broken inward,waiting,"signature repeats"
SW-ARC-TID-1324-0155-09,1324,lower-2,86,0,reversed,misfiled,"shelf denied receipt"
SW-ARC-WET-1907-0155-10,1907,lower-2,181,0,intact,misfiled,"room name absent"
SW-ARC-ACC-1974-0155-11,1974,unassigned,169,14,reversed,sealed,"signature repeats"
SW-ARC-RET-1324-0155-12,1324,lower-2,190,7,absent,misfiled,"do not compare at night"
SW-ARC-PAL-1179-0155-13,1179,lower-2,19,7,intact,open,"room name absent"
SW-ARC-PAL-1488-0155-14,1488,east-3,99,44,broken inward,misfiled,"room name absent"
SW-ARC-PAL-1907-0155-15,1907,returned,158,73,too soft,drying,"shelf denied receipt"
SW-ARC-WET-1869-0155-16,1869,black-6,128,73,reversed,sealed,"room name absent"
