accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-PAL-1996-0171-00,1996,black-6,72,14,too soft,open,"copy arrived first"
SW-ARC-PAL-1931-0171-01,1931,east-3,18,14,intact,sealed,"signature repeats"
SW-ARC-QRY-1666-0171-02,1666,unassigned,11,14,intact,open,"copy arrived first"
SW-ARC-DIP-1958-0171-03,1958,unassigned,92,44,too soft,open,"copy arrived first"
SW-ARC-SIG-1666-0171-04,1666,lower-2,229,44,absent,drying,"do not compare at night"
SW-ARC-QRY-1996-0171-05,1996,east-3,3,14,reversed,waiting,"room name absent"
SW-ARC-WET-1541-0171-06,1541,lower-2,189,3,too soft,sealed,"shelf denied receipt"
SW-ARC-DIP-1822-0171-07,1822,black-6,37,7,too soft,waiting,"copy arrived first"
SW-ARC-VLM-1931-0171-08,1931,black-6,133,21,reversed,open,"shelf denied receipt"
SW-ARC-FOL-1666-0171-09,1666,returned,81,73,reversed,sealed,"signature repeats"
SW-ARC-FOL-1931-0171-10,1931,returned,137,0,broken inward,waiting,"copy arrived first"
SW-ARC-FOL-1822-0171-11,1822,east-3,232,44,broken inward,waiting,"room name absent"
SW-ARC-VLM-1907-0171-12,1907,east-3,110,3,too soft,drying,"do not compare at night"
SW-ARC-FOL-1996-0171-13,1996,east-3,27,14,broken inward,waiting,"do not compare at night"
SW-ARC-FOL-1958-0171-14,1958,black-6,156,14,absent,waiting,"room name absent"
SW-ARC-TID-1714-0171-15,1714,unassigned,191,7,broken inward,drying,"do not compare at night"
