accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-FOL-1488-0244-00,1488,black-6,104,0,too soft,drying,"signature repeats"
SW-ARC-TID-1324-0244-01,1324,returned,229,44,absent,waiting,"signature repeats"
SW-ARC-PAL-1324-0244-02,1324,black-7,88,73,broken inward,sealed,"room name absent"
SW-ARC-SIG-1179-0244-03,1179,unassigned,109,7,too soft,open,"copy arrived first"
SW-ARC-MGR-1324-0244-04,1324,black-7,87,44,reversed,sealed,"do not compare at night"
SW-ARC-ACC-1541-0244-05,1541,lower-2,130,73,intact,misfiled,"copy arrived first"
SW-ARC-ACC-1974-0244-06,1974,black-7,8,7,absent,open,"do not compare at night"
SW-ARC-WET-1541-0244-07,1541,lower-2,90,21,absent,misfiled,"room name absent"
SW-ARC-QRY-1869-0244-08,1869,unassigned,141,73,reversed,sealed,"copy arrived first"
SW-ARC-RET-1488-0244-09,1488,black-6,71,21,reversed,misfiled,"do not compare at night"
SW-ARC-BOX-1907-0244-10,1907,black-7,190,21,too soft,open,"do not compare at night"
SW-ARC-RET-1822-0244-11,1822,returned,138,44,too soft,waiting,"copy arrived first"
SW-ARC-MGR-1931-0244-12,1931,black-6,177,0,reversed,open,"do not compare at night"
SW-ARC-QRY-1714-0244-13,1714,east-3,180,73,intact,open,"signature repeats"
