accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-ACC-1179-0127-00,1179,black-7,149,3,reversed,drying,"room name absent"
SW-ARC-WET-1488-0127-01,1488,unassigned,224,3,reversed,misfiled,"room name absent"
SW-ARC-ACC-1666-0127-02,1666,lower-2,189,0,broken inward,sealed,"signature repeats"
SW-ARC-ACC-1714-0127-03,1714,unassigned,198,3,reversed,drying,"room name absent"
SW-ARC-RET-1714-0127-04,1714,black-7,165,44,reversed,waiting,"shelf denied receipt"
SW-ARC-VLM-1958-0127-05,1958,unassigned,137,0,intact,misfiled,"room name absent"
SW-ARC-RET-1931-0127-06,1931,lower-2,104,0,intact,sealed,"signature repeats"
SW-ARC-PAL-1324-0127-07,1324,black-7,240,0,absent,waiting,"do not compare at night"
SW-ARC-FOL-1324-0127-08,1324,black-7,124,21,reversed,open,"do not compare at night"
SW-ARC-QRY-1488-0127-09,1488,black-7,210,21,intact,open,"shelf denied receipt"
SW-ARC-ACC-1996-0127-10,1996,returned,74,7,reversed,sealed,"copy arrived first"
SW-ARC-TID-1931-0127-11,1931,black-7,181,14,absent,waiting,"shelf denied receipt"
SW-ARC-RET-1666-0127-12,1666,unassigned,53,21,reversed,waiting,"do not compare at night"
SW-ARC-QRY-1179-0127-13,1179,east-3,125,21,reversed,misfiled,"signature repeats"
SW-ARC-BOX-1793-0127-14,1793,east-3,144,44,reversed,sealed,"signature repeats"
SW-ARC-PAL-1324-0127-15,1324,east-3,137,73,intact,sealed,"shelf denied receipt"
SW-ARC-VLM-1869-0127-16,1869,unassigned,211,73,broken inward,sealed,"room name absent"
