accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-BOX-1666-0216-00,1666,east-3,192,73,intact,misfiled,"shelf denied receipt"
SW-ARC-ACC-1931-0216-01,1931,unassigned,31,73,too soft,misfiled,"signature repeats"
SW-ARC-RET-1996-0216-02,1996,returned,189,73,too soft,waiting,"shelf denied receipt"
SW-ARC-BOX-1714-0216-03,1714,unassigned,170,14,intact,waiting,"do not compare at night"
SW-ARC-SIG-1907-0216-04,1907,black-6,163,14,broken inward,misfiled,"shelf denied receipt"
SW-ARC-DIP-1666-0216-05,1666,unassigned,13,14,absent,sealed,"signature repeats"
SW-ARC-RET-1541-0216-06,1541,east-3,134,21,reversed,drying,"signature repeats"
SW-ARC-DIP-1793-0216-07,1793,unassigned,239,21,absent,misfiled,"shelf denied receipt"
SW-ARC-PAL-1793-0216-08,1793,black-6,71,73,reversed,open,"copy arrived first"
SW-ARC-SIG-1822-0216-09,1822,lower-2,227,44,absent,misfiled,"signature repeats"
SW-ARC-TID-1974-0216-10,1974,east-3,109,73,broken inward,open,"room name absent"
SW-ARC-TID-1958-0216-11,1958,black-6,82,0,intact,drying,"room name absent"
SW-ARC-BOX-1488-0216-12,1488,black-6,63,14,intact,waiting,"shelf denied receipt"
SW-ARC-VLM-1907-0216-13,1907,returned,64,7,too soft,sealed,"room name absent"
SW-ARC-FOL-1488-0216-14,1488,unassigned,228,0,broken inward,sealed,"copy arrived first"
SW-ARC-PAL-1714-0216-15,1714,black-6,122,44,intact,sealed,"do not compare at night"
SW-ARC-ACC-1907-0216-16,1907,unassigned,133,3,reversed,waiting,"signature repeats"
