time,location,observation,disposition
11:11,corridor,the corridor accepted the request and then changed which side the door was on,retained
14:14,canteen queue,form accepted in damp condition; drying would change the filing date,retained
06:00,clock face,result withheld because the witness had already gone home in a previous shift,non-actionable
14:14,window film,the archive declined to distinguish the duplicate from the original,non-actionable
04:04,lamp housing,the archive declined to distinguish the duplicate from the original,retained
06:00,locker row,one reflection answered late; no disciplinary event is created by lateness alone,retained
02:00,corridor,the corridor accepted the request and then changed which side the door was on,folded
14:14,visitor ledger,standing water found above the label but below the room name,non-actionable
14:14,handrail,the corridor accepted the request and then changed which side the door was on,non-actionable
14:14,archive tray,form accepted in damp condition; drying would change the filing date,non-actionable
02:00,basin,one reflection answered late; no disciplinary event is created by lateness alone,retained
02:00,intercom,return path found but rejected because it arrived before the departure,non-actionable
06:00,visitor ledger,handbook clause relocated after citation; use the printed copy facing away from glass,folded
04:04,corridor,the queue moved while unobserved and returned with one extra place,retained
04:04,visitor ledger,standing water found above the label but below the room name,non-actionable
04:04,printer throat,form accepted in damp condition; drying would change the filing date,non-actionable
04:04,mirror cover,the queue moved while unobserved and returned with one extra place,folded
02:00,canteen queue,handbook clause relocated after citation; use the printed copy facing away from glass,non-actionable
06:00,conference room,the corridor accepted the request and then changed which side the door was on,retained
02:00,archive tray,return path found but rejected because it arrived before the departure,non-actionable
