time,location,observation,disposition
02:00,return path,light remains on in rooms remembered as dark; maintenance closed the ticket anyway,retained
06:00,vestibule,the cup is empty; facing away; and therefore compliant for today,retained
11:11,printer throat,one reflection answered late; no disciplinary event is created by lateness alone,folded
02:00,intercom,badge echo delayed by 2.1 seconds; temporary absence preserved,retained
14:14,window film,return path found but rejected because it arrived before the departure,non-actionable
14:14,lift,the corridor accepted the request and then changed which side the door was on,folded
02:00,conference room,standing water found above the label but below the room name,folded
06:00,window film,badge echo delayed by 2.1 seconds; temporary absence preserved,retained
11:11,canteen queue,the queue moved while unobserved and returned with one extra place,non-actionable
14:14,floor map,one reflection answered late; no disciplinary event is created by lateness alone,retained
06:00,wet floor sign,standing water found above the label but below the room name,retained
02:00,cup rack,mirror cover compliant; covered surface continues to behave like a window,non-actionable
02:00,window film,light remains on in rooms remembered as dark; maintenance closed the ticket anyway,folded
14:14,basin,badge echo delayed by 2.1 seconds; temporary absence preserved,non-actionable
11:11,floor map,return path found but rejected because it arrived before the departure,non-actionable
14:14,wet floor sign,standing water found above the label but below the room name,folded
11:11,basin,the staircase returned a sample resembling the last thing typed by the operator,folded
14:14,cup rack,one reflection answered late; no disciplinary event is created by lateness alone,folded
04:04,clock face,handbook clause relocated after citation; use the printed copy facing away from glass,non-actionable
14:14,window film,the corridor accepted the request and then changed which side the door was on,folded
