time,location,observation,disposition
11:11,basin,light remains on in rooms remembered as dark; maintenance closed the ticket anyway,retained
02:00,printer throat,badge echo delayed by 2.1 seconds; temporary absence preserved,retained
14:14,floor map,all clocks agree with themselves; no statement is made regarding each other,folded
02:00,window film,all clocks agree with themselves; no statement is made regarding each other,folded
06:00,handrail,form accepted in damp condition; drying would change the filing date,retained
02:00,vestibule,form accepted in damp condition; drying would change the filing date,non-actionable
11:11,stairwell,form accepted in damp condition; drying would change the filing date,folded
11:11,clock face,light remains on in rooms remembered as dark; maintenance closed the ticket anyway,retained
14:14,canteen queue,return path found but rejected because it arrived before the departure,non-actionable
06:00,visitor ledger,all clocks agree with themselves; no statement is made regarding each other,retained
11:11,intercom,the corridor accepted the request and then changed which side the door was on,folded
04:04,clock face,standing water found above the label but below the room name,folded
04:04,descaling sink,the archive declined to distinguish the duplicate from the original,non-actionable
14:14,wet floor sign,the corridor accepted the request and then changed which side the door was on,folded
11:11,archive tray,result withheld because the witness had already gone home in a previous shift,retained
11:11,lift,return path found but rejected because it arrived before the departure,folded
02:00,lamp housing,the archive declined to distinguish the duplicate from the original,folded
04:04,descaling sink,the corridor accepted the request and then changed which side the door was on,folded
04:04,printer throat,all clocks agree with themselves; no statement is made regarding each other,folded
06:00,lamp housing,all clocks agree with themselves; no statement is made regarding each other,folded
