time,location,observation,disposition
14:14,wet floor sign,light remains on in rooms remembered as dark; maintenance closed the ticket anyway,retained
11:11,lift,return path found but rejected because it arrived before the departure,retained
04:04,conference room,all clocks agree with themselves; no statement is made regarding each other,non-actionable
04:04,photocopier,the queue moved while unobserved and returned with one extra place,retained
11:11,basin,the archive declined to distinguish the duplicate from the original,retained
04:04,descaling sink,the corridor accepted the request and then changed which side the door was on,retained
02:00,lamp housing,mirror cover compliant; covered surface continues to behave like a window,non-actionable
14:14,lift,the queue moved while unobserved and returned with one extra place,retained
04:04,printer throat,handbook clause relocated after citation; use the printed copy facing away from glass,non-actionable
06:00,photocopier,return path found but rejected because it arrived before the departure,non-actionable
14:14,service door,the staircase returned a sample resembling the last thing typed by the operator,non-actionable
06:00,locker row,badge echo delayed by 2.1 seconds; temporary absence preserved,folded
14:14,vestibule,handbook clause relocated after citation; use the printed copy facing away from glass,non-actionable
06:00,handrail,the queue moved while unobserved and returned with one extra place,folded
02:00,clock face,the staircase returned a sample resembling the last thing typed by the operator,non-actionable
06:00,stairwell,the archive declined to distinguish the duplicate from the original,folded
06:00,window film,the archive declined to distinguish the duplicate from the original,folded
14:14,canteen queue,result withheld because the witness had already gone home in a previous shift,folded
04:04,intercom,mirror cover compliant; covered surface continues to behave like a window,non-actionable
11:11,wet floor sign,the archive declined to distinguish the duplicate from the original,retained
