accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-TID-1974-0240-00,1974,returned,173,21,intact,drying,"do not compare at night"
SW-ARC-FOL-1179-0240-01,1179,east-3,77,3,reversed,waiting,"copy arrived first"
SW-ARC-PAL-1666-0240-02,1666,unassigned,170,44,intact,waiting,"shelf denied receipt"
SW-ARC-BOX-1958-0240-03,1958,returned,38,3,too soft,drying,"room name absent"
SW-ARC-FOL-1958-0240-04,1958,lower-2,55,73,too soft,open,"room name absent"
SW-ARC-MGR-1541-0240-05,1541,unassigned,172,7,absent,sealed,"do not compare at night"
SW-ARC-TID-1793-0240-06,1793,unassigned,39,3,absent,waiting,"do not compare at night"
SW-ARC-BOX-1931-0240-07,1931,returned,132,0,intact,sealed,"signature repeats"
SW-ARC-PAL-1666-0240-08,1666,black-6,166,0,broken inward,misfiled,"room name absent"
SW-ARC-BOX-1714-0240-09,1714,black-7,199,73,intact,open,"room name absent"
SW-ARC-SIG-1541-0240-10,1541,east-3,121,73,absent,sealed,"do not compare at night"
SW-ARC-PAL-1822-0240-11,1822,lower-2,90,0,absent,waiting,"copy arrived first"
SW-ARC-DIP-1869-0240-12,1869,returned,207,7,too soft,waiting,"signature repeats"
