survey_id,location,marker,expected_distance_m,observed_distance_m,water_sound,notes
SS-009-000,South Intake Tunnel,unmarked,0,431,surf,do not revisit alone
SS-009-001,Ashen Ferry Terminal,brass tag,783,below,rain inside,distance changed while writing
SS-009-002,Tide Elevator,white rope,453,not returned,rain inside,do not revisit alone
SS-009-003,Lighthouse 7,wet chalk,922,inside,pipe breath,ordinary until midnight
SS-009-004,Tide Elevator,wet chalk,439,below,gulls,marker dry
SS-009-005,South Intake Tunnel,white rope,1040,below,bell,ordinary until midnight
SS-009-006,Blackwater Pier,wet chalk,688,235,pipe breath,ordinary until midnight
SS-009-007,Lower Bell Marina,brass tag,1131,not returned,rain inside,marker dry
SS-009-008,The Empty Aquarium,white rope,1104,same as yesterday,none,distance changed while writing
SS-009-009,Ashen Ferry Terminal,wet chalk,120,not returned,surf,marker wet
SS-009-010,Grey Buoy Field,salt nail,1163,not returned,surf,do not revisit alone
SS-009-011,The Empty Aquarium,salt nail,248,same as yesterday,pipe breath,distance changed while writing
SS-009-012,The Third Jetty,brass tag,323,not returned,surf,marker wet
SS-009-013,The Dry Dock With Water In It,white rope,510,inside,surf,distance changed while writing
SS-009-014,Ashen Ferry Terminal,white rope,982,same as yesterday,rain inside,ordinary until midnight
SS-009-015,Oyster Stair,white rope,775,below,rain inside,marker wet
SS-009-016,The Third Jetty,blue tape,936,same as yesterday,rain inside,marker dry
SS-009-017,Salt Archive,unmarked,264,same as yesterday,none,ordinary until midnight
SS-009-018,Salt Archive,salt nail,938,not returned,rain inside,marker dry
SS-009-019,Tide Elevator,brass tag,1025,inside,surf,marker wet
SS-009-020,The Pool That Was Not Built,unmarked,323,not returned,bell,marker wet
SS-009-021,Rain Room 11,brass tag,832,1146,surf,marker dry
SS-009-022,The Dry Dock With Water In It,wet chalk,984,below,rain inside,marker dry
SS-009-023,South Intake Tunnel,white rope,385,1174,pipe breath,marker dry
SS-009-024,Room 0 Flood Annex,wet chalk,235,same as yesterday,surf,do not revisit alone
SS-009-025,Old Bathing Pavilion,white rope,536,same as yesterday,pipe breath,marker wet
SS-009-026,Sublevel K Drainage,wet chalk,349,not returned,pipe breath,marker dry
SS-009-027,Anchor Hall,salt nail,509,inside,rain inside,marker dry
SS-009-028,Tide Elevator,unmarked,937,same as yesterday,rain inside,marker dry
SS-009-029,Below-Stairs Reservoir,unmarked,1095,not returned,none,marker dry
SS-009-030,Undertow Corridor,white rope,112,not returned,gulls,marker dry
SS-009-031,Undertow Corridor,unmarked,804,inside,pipe breath,marker wet
SS-009-032,Room 0 Flood Annex,blue tape,601,not returned,none,ordinary until midnight
SS-009-033,Tide Elevator,white rope,1083,same as yesterday,pipe breath,ordinary until midnight
SS-009-034,Crescent Breakwater,wet chalk,678,not returned,gulls,distance changed while writing
SS-009-035,Lighthouse 7,unmarked,889,same as yesterday,pipe breath,distance changed while writing
SS-009-036,South Intake Tunnel,salt nail,100,inside,gulls,marker dry
SS-009-037,Rain Room 11,white rope,914,143,none,marker wet
SS-009-038,Observation Deck 4,white rope,644,not returned,none,marker dry
SS-009-039,Blue Door Quay,brass tag,745,same as yesterday,surf,marker wet
SS-009-040,Observation Deck 4,salt nail,110,362,bell,marker dry
SS-009-041,The Pool That Was Not Built,brass tag,1195,same as yesterday,none,marker dry
SS-009-042,Blue Door Quay,unmarked,1177,inside,rain inside,ordinary until midnight
SS-009-043,South Intake Tunnel,white rope,754,not returned,gulls,ordinary until midnight
SS-009-044,The Empty Aquarium,unmarked,1101,below,pipe breath,do not revisit alone
