accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-TID-1958-0235-00,1958,returned,125,44,absent,sealed,"copy arrived first"
SW-ARC-WET-1931-0235-01,1931,east-3,202,73,absent,open,"room name absent"
SW-ARC-SIG-1958-0235-02,1958,lower-2,218,73,absent,sealed,"signature repeats"
SW-ARC-RET-1931-0235-03,1931,east-3,203,7,intact,waiting,"signature repeats"
SW-ARC-TID-1714-0235-04,1714,lower-2,30,7,intact,sealed,"copy arrived first"
SW-ARC-TID-1488-0235-05,1488,east-3,209,7,absent,drying,"copy arrived first"
SW-ARC-WET-1931-0235-06,1931,black-7,184,21,too soft,sealed,"copy arrived first"
SW-ARC-QRY-1179-0235-07,1179,returned,116,14,intact,waiting,"room name absent"
SW-ARC-MGR-1931-0235-08,1931,returned,215,7,reversed,waiting,"copy arrived first"
SW-ARC-WET-1179-0235-09,1179,lower-2,65,0,intact,sealed,"shelf denied receipt"
SW-ARC-BOX-1324-0235-10,1324,lower-2,180,14,intact,misfiled,"signature repeats"
SW-ARC-VLM-1958-0235-11,1958,black-7,58,3,too soft,sealed,"do not compare at night"
SW-ARC-SIG-1324-0235-12,1324,returned,22,0,too soft,drying,"shelf denied receipt"
SW-ARC-VLM-1488-0235-13,1488,black-7,106,7,reversed,drying,"copy arrived first"
SW-ARC-DIP-1488-0235-14,1488,returned,8,73,too soft,drying,"signature repeats"
SW-ARC-DIP-1907-0235-15,1907,black-6,20,3,broken inward,misfiled,"signature repeats"
