accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-DIP-1907-0191-00,1907,returned,118,73,broken inward,sealed,"shelf denied receipt"
SW-ARC-DIP-1541-0191-01,1541,east-3,42,44,too soft,waiting,"do not compare at night"
SW-ARC-MGR-1793-0191-02,1793,returned,70,14,intact,misfiled,"room name absent"
SW-ARC-MGR-1907-0191-03,1907,black-6,146,21,too soft,open,"shelf denied receipt"
SW-ARC-VLM-1931-0191-04,1931,lower-2,23,7,reversed,sealed,"signature repeats"
SW-ARC-SIG-1324-0191-05,1324,returned,118,14,intact,sealed,"room name absent"
SW-ARC-SIG-1869-0191-06,1869,black-6,11,3,reversed,open,"copy arrived first"
SW-ARC-QRY-1907-0191-07,1907,east-3,32,73,reversed,drying,"shelf denied receipt"
SW-ARC-BOX-1974-0191-08,1974,black-6,133,7,broken inward,sealed,"room name absent"
SW-ARC-FOL-1324-0191-09,1324,east-3,93,14,broken inward,drying,"copy arrived first"
SW-ARC-SIG-1822-0191-10,1822,lower-2,61,44,intact,drying,"room name absent"
SW-ARC-VLM-1907-0191-11,1907,unassigned,5,0,too soft,misfiled,"do not compare at night"
SW-ARC-VLM-1666-0191-12,1666,unassigned,163,21,too soft,waiting,"shelf denied receipt"
SW-ARC-FOL-1324-0191-13,1324,black-7,185,0,absent,drying,"do not compare at night"
SW-ARC-DIP-1974-0191-14,1974,returned,80,0,too soft,waiting,"shelf denied receipt"
SW-ARC-ACC-1666-0191-15,1666,black-6,177,3,reversed,open,"copy arrived first"
SW-ARC-PAL-1488-0191-16,1488,unassigned,24,73,too soft,waiting,"signature repeats"
