accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-WET-1666-0085-00,1666,black-7,228,14,reversed,misfiled,"do not compare at night"
SW-ARC-ACC-1666-0085-01,1666,east-3,195,3,reversed,drying,"signature repeats"
SW-ARC-QRY-1974-0085-02,1974,black-7,193,14,absent,drying,"shelf denied receipt"
SW-ARC-FOL-1666-0085-03,1666,returned,98,44,intact,sealed,"do not compare at night"
SW-ARC-PAL-1974-0085-04,1974,lower-2,130,14,broken inward,open,"do not compare at night"
SW-ARC-ACC-1324-0085-05,1324,lower-2,93,44,absent,drying,"shelf denied receipt"
SW-ARC-VLM-1488-0085-06,1488,black-7,72,73,intact,open,"signature repeats"
SW-ARC-VLM-1974-0085-07,1974,east-3,125,7,intact,drying,"copy arrived first"
SW-ARC-DIP-1179-0085-08,1179,black-7,174,73,too soft,sealed,"signature repeats"
SW-ARC-WET-1324-0085-09,1324,east-3,111,44,broken inward,drying,"room name absent"
SW-ARC-RET-1324-0085-10,1324,east-3,35,7,intact,open,"shelf denied receipt"
SW-ARC-QRY-1931-0085-11,1931,lower-2,109,73,absent,drying,"copy arrived first"
SW-ARC-FOL-1869-0085-12,1869,east-3,220,7,intact,drying,"copy arrived first"
SW-ARC-VLM-1907-0085-13,1907,east-3,47,7,too soft,misfiled,"do not compare at night"
SW-ARC-QRY-1958-0085-14,1958,black-7,62,73,too soft,drying,"copy arrived first"
SW-ARC-MGR-1958-0085-15,1958,lower-2,111,21,intact,misfiled,"copy arrived first"
