accession,year,shelf,folios,waterline_mm,seal,status,note
SW-ARC-BOX-1931-0169-00,1931,unassigned,131,7,broken inward,drying,"copy arrived first"
SW-ARC-PAL-1714-0169-01,1714,black-7,63,7,absent,drying,"copy arrived first"
SW-ARC-SIG-1488-0169-02,1488,unassigned,231,3,too soft,drying,"copy arrived first"
SW-ARC-QRY-1907-0169-03,1907,unassigned,37,73,too soft,open,"shelf denied receipt"
SW-ARC-TID-1714-0169-04,1714,returned,117,14,broken inward,misfiled,"room name absent"
SW-ARC-FOL-1666-0169-05,1666,unassigned,17,44,reversed,waiting,"signature repeats"
SW-ARC-MGR-1958-0169-06,1958,black-6,54,3,absent,drying,"do not compare at night"
SW-ARC-VLM-1179-0169-07,1179,returned,192,73,broken inward,waiting,"room name absent"
SW-ARC-FOL-1869-0169-08,1869,lower-2,19,73,broken inward,waiting,"room name absent"
SW-ARC-DIP-1488-0169-09,1488,black-7,15,7,reversed,waiting,"room name absent"
